ID,AVG_ERROR,MAX_ERROR,END_ERROR,E25,E50,E75,E100,NUM_RANK,TERMINATED,,,,,,,,,
90,0.0025,0.01,0,0.01,0,0.01,0,1,2000,,,,,,,,,
91,0.02625,0.1,0.1,0,0.1,0,0.1,1,2000,,,,,,,,,
92,0.00375,0.01,0,0.01,0,0,0,1,2000,,,,,,,,,
93,0.0189277,0.141421,0,0.141421,0,0,0,1,2000,,,,,,,,,
94,0.0150623,0.100499,0,0.01,0.01,0,0,1,2000,,,,,,,,,
95,0.0125,0.1,0,0,0,0.1,0,1,2000,,,,,,,,,
96,0.0125,0.1,0,0.1,0,0,0,1,2000,,,,,,,,,
97,0,0,0,0,0,0,0,1,2000,,,,,,,,,
98,0,0,0,0,0,0,0,1,2000,,,,,,,,,
99,0,0,0,0,0,0,0,1,2000,,,,,,,,,
100,0,0,0,0,0,0,0,1,2000,,,,,,,,,
101,0.01375,0.1,0,0.01,0,0,0,1,2000,,,,,,,,,
102,0,0,0,0,0,0,0,1,2000,,,,,,,,,
103,0.01375,0.1,0,0,0,0,0,1,2000,,,,,,,,,
104,0.0125,0.1,0,0,0,0,0,1,2000,,,,,,,,,
105,0,0,0,0,0,0,0,1,2000,,,,,,,,,
106,0.0125,0.1,0,0,0.1,0,0,1,2000,,,,,,,,,
107,0,0,0,0,0,0,0,1,2000,,,,,,,,,
108,0,0,0,0,0,0,0,1,2000,,,,,,,,,
109,0.0025,0.01,0,0,0,0,0,1,2000,,,,,,,,,
110,0,0,0,0,0,0,0,1,2000,,,,,,,,,
111,0.00375,0.02,0,0.02,0,0,0,1,2000,,,,,,,,,
112,0.0163123,0.100499,0.01,0.02,0,0,0.01,1,2000,,,,,,,,,
113,0,0,0,0,0,0,0,1,2000,,,,,,,,,
114,0,0,0,0,0,0,0,1,2000,,,,,,,,,
115,0,0,0,0,0,0,0,1,2000,,,,,,,,,
116,0,0,0,0,0,0,0,1,2000,,,,,,,,,
117,0.0025,0.02,0,0.02,0,0,0,1,2000,,,,,,,,,
118,0,0,0,0,0,0,0,1,2000,,,,,,,,,
119,0.0025,0.01,0,0.01,0,0,0,1,2000,,,,,,,,,
120,0,0,0,0,0,0,0,1,2000,,,,,,,,,
121,0.015,0.1,0,0.01,0.01,0,0,1,2000,,,,,,,,,
122,0.00125,0.01,0,0.01,0,0,0,1,2000,,,,,,,,,
